lambda,kappa,obj,return,risk,AAPL,AGG,AMZN,BAC,BND,BNDX,CORN,CSCO,DBA,DBC,DIA,DIS,EEM,EFA,EMB,GLD,GOOGL,HD,HYG,IEF,IWM,JNJ,JPM,KO,LQD,MA,META,MSFT,MUB,PALL,PFE,PG,QQQ,SLV,SPY,TLT,TSLA,UNG,USO,V,VNQ,WEAT,WMT,XOM
10.0,0.4,0.0018831128639652177,0.006857679676176942,0.03154224726366758,0.04022712865321675,1.2803750524286764e-07,0.009435163497387707,1.224595830305304e-08,8.898166495677108e-08,9.10964287803347e-07,0.05525339310192861,0.004216541896583985,0.18389599792255168,0.04069883442188654,8.123012993135206e-08,3.6929415229002296e-10,4.223817419564014e-09,6.351580129754699e-09,1.8738123339924563e-09,0.13902473482057284,0.0401505712012499,0.015562239903545551,8.709306794527985e-08,7.015865826383883e-08,1.1303084893739021e-08,5.0983267886316426e-08,0.02558515107989472,2.5033839319080702e-08,7.806830202697117e-09,4.428499226349929e-08,0.020572007611868146,0.05758064375908628,0.12117207667487652,1.5850503612614508e-09,1.4684508872917267e-08,0.036365482176133175,0.03019092095494339,2.802000152011786e-08,0.008651537017892173,1.6541288251420164e-09,0.018579184573482017,4.468308517665681e-09,3.882574337979303e-06,1.3763357919953582e-07,2.0900105926089804e-09,1.9379538946070187e-06,0.11792984714194531,0.034901001788190666
1.0,0.7,0.003841892698105904,0.004823178106486551,0.044300912143671406,0.05521587946068983,-2.1638609796787957e-09,0.02837081775192487,0.013690929233418402,-2.141980227231545e-09,-2.5621668621246466e-09,0.019311987572260263,0.019136613782721947,0.11000367216847681,0.036174417760415856,0.0374455411646735,8.136155990209519e-10,3.1614701527084994e-09,0.005146674961792424,-4.1439692387689515e-10,0.0692391101692446,0.05034314256148401,0.03274245362003055,5.2031608207501105e-09,-1.8727012385875776e-09,0.014985478580011697,1.5189382121283426e-08,0.03476355626304151,0.0067593573294004025,-7.74196666895904e-10,0.02338839871702469,0.029549515567869878,0.0679596620204699,-1.6300926581717358e-09,-3.603889025813874e-10,2.410457506981345e-09,0.035020203535844105,0.062171356167879416,0.016713603447216493,0.05708000007915654,-8.980073254186089e-10,0.023338360370585873,4.997635051001755e-10,0.004764476780744574,0.025794476998311566,1.496315275793787e-08,9.873549543269485e-10,0.09068077920724327,0.030209504224736426
2.0,0.7,0.002903050042505492,0.004703929071378508,0.04243676506135941,0.05110847472046003,-1.6833464515432454e-10,0.025969896633326994,0.011261393447592624,-1.6942204866489885e-10,-2.008438436768719e-10,0.028051992318718227,0.01888125121022917,0.12228468542552563,0.03993137857507322,0.035284550062552926,5.541993273186729e-11,4.4513274388271693e-10,0.004354249497039489,-2.665155534249128e-11,0.08114657063924723,0.04761802956542098,0.030791030830100072,1.0195669676745375e-08,-1.746013389489348e-10,0.012472718809578865,1.1085302722328184e-07,0.03281282939201374,0.008992703741157886,-4.5837544499083685e-11,0.020710574161833,0.027353828281237842,0.06513281994240193,1.8672377380597005e-10,-4.5649184267090474e-11,4.488848923445133e-10,0.03896613553326945,0.05772535642827735,0.015615468648522372,0.05316510051748381,-1.0815902859156095e-10,0.021105804917742776,7.326643601167911e-11,0.004898667437090512,0.02383534161137592,5.752485879259188e-10,4.3257103181639027e-10,0.09114884315393401,0.029380182348170473
3.0,0.7,0.002040171428015572,0.004518716205632314,0.04064927041261417,0.047117432266032946,1.1932590646405079e-08,0.02374024741433229,0.008984146554531518,1.0045470374352429e-08,2.021693780742643e-08,0.03450884148712813,0.018284971290398647,0.13013627579254763,0.04201575624033818,0.03270934205070733,1.6043086778093357e-09,3.9599596804935086e-08,0.0031330979049357843,-7.422382957666539e-12,0.08944721859376165,0.044792373044228354,0.02871329541531288,0.014359186167905182,-1.0300347997978353e-09,0.010082665221877948,0.003903466044927012,0.03072445528701389,0.010112704222902169,2.2599189945546716e-09,0.018033424630417842,0.02522089899136603,0.06201226659553418,2.6199213705259517e-05,-2.575599761505773e-09,6.677603629102195e-08,0.04123898158746569,0.05334722880567235,0.014211318661809521,0.049031836543203776,-5.796549515176802e-09,0.019079921562671198,6.205574833028944e-09,0.00480955533027625,0.02170101204288877,2.8474262523818037e-08,4.5432098438801846e-07,0.09029144879980185,0.028229800380543422
4.0,0.7,0.001272891357872786,0.004129191939922958,0.0377908757641985,0.04212576026744111,2.6326230436731084e-07,0.02105386567378837,0.006885724584002349,2.0272545153685285e-07,8.459850203299098e-07,0.037052385451794075,0.01683328824119639,0.1288067660959464,0.041174661453382944,0.02902152181499111,4.792595234959631e-11,6.745504710147165e-08,0.001451038155448526,2.590512293947002e-09,0.09019087006881726,0.040657159861057154,0.025651764239311998,0.024616680387042254,4.9071564680505824e-08,0.007711742231341733,0.006587753799672273,0.027723772757618368,0.009960459311364866,1.7382562685128708e-08,0.015179386686617294,0.022519214382850018,0.05679632613887342,0.05004698798768121,-4.4607565767483e-09,1.8737097541852793e-07,0.04048334301129808,0.04762614410457937,0.0122643676293664,0.04353716365503212,-9.339667406646902e-09,0.01684752911849431,8.772550263686787e-09,0.004397973056327586,0.01903507682906284,2.9393686403685938e-08,0.002072233672011557,0.0855108751562089,0.026176502876084307
5.0,0.7,0.0006071360519063788,0.003680917579067298,0.03506440660932918,0.037696363117018246,0.004982953762237303,0.018628208199629376,0.005184184190953506,0.0009161420117739675,0.02327711163080675,0.037927832498657,0.015375306265028331,0.12468275668411577,0.03957962523003691,0.0255499357718439,2.370229388873285e-09,3.571638634868114e-08,8.206697122803053e-06,9.601515172768374e-09,0.08820668203048394,0.03682330303270583,0.02279053665080899,0.029792879911167705,1.1274719987706118e-07,0.0057080440159026765,0.00810588183243336,0.024991429545236137,0.009369240409375831,2.640058711682361e-08,0.012748827117900293,0.02012659853181547,0.05178814784133521,0.08100870882570009,-1.6246609863735626e-11,9.723027850358752e-08,0.03884044998439781,0.04242860629472029,0.010477055840760112,0.03850038390370825,-6.700106540009579e-10,0.014967943813053127,8.913678262662407e-09,0.0040036639035845745,0.016636259502747674,1.6739032919661273e-08,0.004352660067254645,0.08031809932657125,0.024205661708320392
6.0,0.7,3.9064671091801166e-05,0.0032016209088975133,0.03246822158052246,0.03357640687988052,0.02169645538590257,0.016333244552436038,0.003820471186001639,0.01727084402170038,0.04507944576450965,0.03756583036639944,0.01387495172753437,0.11819703111461706,0.03746992423822384,0.022233566966928887,4.976068219349498e-10,7.166619668606045e-09,2.086082872169415e-07,2.454272512803418e-09,0.08377353212666155,0.03308487263306899,0.020000465535549582,0.030990442086816932,6.900851634369681e-07,0.004000322671195345,0.008748302825655432,0.022380949050316113,0.00851882163410136,7.317360314573181e-09,0.010649735489827962,0.01787180656350493,0.04672718548005445,0.09560979663278958,1.378406759379488e-10,4.8048806821867764e-08,0.03646885189234163,0.03748092954215106,0.008864926386731219,0.03374050595280043,1.0114011198056863e-10,0.013306609481107219,2.338855791349068e-09,0.003679041142032103,0.014444301419086137,3.1932883955387016e-09,0.005732315739894883,0.07456276255232452,0.022244380883566384
7.0,0.7,-0.00045505271910769923,0.002791411495429644,0.030455889482225395,0.03041819236441759,0.033297655304167825,0.014524502446843805,0.002723856747331326,0.028622340391591637,0.060690097930298954,0.03738605967226785,0.012681740122865345,0.11337288408398051,0.03591338274565035,0.019564828307743882,5.206105485513574e-11,8.768789292030724e-10,5.036523426834236e-09,3.3886073692257875e-10,0.08035052837668148,0.030217555658313362,0.017798127523282897,0.03144617113343177,0.005471875382869827,0.0025786313074606985,0.009171832763643865,0.020396825511205148,0.007745204753390671,1.1504745713630426e-09,0.00896918610101419,0.016139447261613444,0.04281378163955898,0.10591216097539803,3.232594251811947e-11,1.9430261240946168e-08,0.03461149617991718,0.03361227731014666,0.0075472167144792724,0.02997548336230776,4.1054552603153007e-11,0.012061455898657689,3.528635182321518e-10,0.003439985044716823,0.012693938289364092,3.4321256392017304e-10,0.006757298690958589,0.07028249527729581,0.02081145727838847
8.0,0.7,-0.0008938158347153629,0.002433714219645059,0.02884237357760463,0.027903467604421545,0.04183648076800528,0.013046542764496674,0.0018023991945172006,0.03696471660382777,0.07260363003494501,0.03735107516152475,0.011703364236405217,0.10970686644540777,0.03473760418997338,0.01733832574991212,1.2503281507373411e-10,2.084440310500382e-09,7.686736735349272e-09,9.242986287880164e-10,0.07765716148952352,0.027936181967826455,0.015992219469135784,0.03151525052114163,0.012681124349466505,0.0013483812934569313,0.009476761360756038,0.018830682572562582,0.007035503988195116,3.3364712432528025e-09,0.007569056811783142,0.01475647459331196,0.039679063326678615,0.11373241281555654,1.2006401891940714e-10,7.228831693987996e-08,0.03312307334872561,0.030471918442410095,0.006425941328343461,0.02688280878206414,1.5788491655526726e-10,0.011091505753654876,1.0823382163369598e-09,0.003256154162710363,0.011244488625862052,7.959734587363015e-10,0.007562317250859807,0.06700690188639291,0.019730054411579205
9.0,0.7,-0.001290491932311305,0.0021192705520520737,0.027526805054804225,0.025860682822854558,0.04868672061854354,0.011813817928376885,0.000994721707886244,0.04363337542747433,0.08244165972051713,0.03745646890092122,0.010890239597730025,0.1069657941069511,0.033846597362317585,0.015433223096231196,1.403495548022948e-09,1.763884303274143e-08,4.375053376897475e-08,9.644658553308564e-09,0.07559655018788791,0.026087610173187167,0.014477964149090299,0.031434697958379096,0.018387604975099524,0.0002543102286622216,0.009730611216582743,0.017566841631474636,0.006379285376717105,3.3787259503364625e-08,0.0063659854174754555,0.01362688138879965,0.03713105021029508,0.12033970554273878,1.8349711308429276e-09,2.7860905700566506e-07,0.03193409136571515,0.027868624484156983,0.005440460229843068,0.024279230010161527,2.564905593035118e-09,0.010318106601857365,1.1230368462940565e-08,0.003104307651927599,0.010013118337331784,7.016306414995079e-09,0.008235541891013455,0.06450085209743545,0.018902859669799
10.0,0.7,-0.0016540630267388686,0.0018395776507141937,0.02643346620272514,0.024124084593902237,0.054339015945035915,0.010740938405266529,0.00024969976029869947,0.049115368903543996,0.09081065410700821,0.03763133752639883,0.01017860564557777,0.10479248174166084,0.03312751298912211,0.01372059159386511,9.92478569526211e-10,1.151854150806769e-08,2.3733788800540905e-08,7.112492444089349e-09,0.07393500857018165,0.024519155070604544,0.01314404403691657,0.031203768251064305,0.02305940897488601,3.9046658555150826e-07,0.00994470537559469,0.01647594487415333,0.00575971616105256,2.5394299612043083e-08,0.005292202155592405,0.012667093998555399,0.03496927666547479,0.12602052729986263,1.614296839605463e-09,2.3986358064196563e-07,0.03095068937021654,0.025608906880894594,0.004549108243050694,0.021981033746737405,2.2036824179211475e-09,0.009668665042469677,9.132593964780479e-09,0.002969426557094238,0.008922711455902928,4.567266301536834e-09,0.00881435085289941,0.06248586768778145,0.018227380830009392
1.0,1.0,-0.00022300478354161934,0.0005543532177473953,0.03942988717430005,0.03772643815220533,0.0007693093845352504,0.021396423621677874,0.013088215019871135,0.0008180208840158595,0.006727154143349026,0.025858043621434457,0.01932792358118257,0.09535675153580739,0.035889219619622235,0.03757605162938296,1.0360010522622246e-06,0.009537012739380324,0.019393194329020272,6.613262265969942e-07,0.06496917991577424,0.03593980502819226,0.02648818019487537,0.044014316697520976,2.1430182982537115e-08,0.01753843780687772,0.014130945812402962,0.026463559307750382,0.01843160492783682,1.3854975868984142e-06,0.020721828397634607,0.019916706292514498,0.04947510672995434,0.0478342273376629,-7.734343932310077e-09,0.003013473877068148,0.036508032478236405,0.04698827290299006,0.014775968499967599,0.04837471544265491,-1.759878932295034e-08,0.014192974187638638,1.7418931577323062e-08,0.005285210031198492,0.024492062822177186,0.008574123352131584,0.0011810219767982068,0.06554692217414704,0.021676467945470675
2.0,1.0,-0.0009173384283902289,0.0003373947405886941,0.03542221293170319,0.03219865146402231,0.02431003263259128,0.018175638152152847,0.010508330339682449,0.023474899536961896,0.037257200871457175,0.026128795778867262,0.016841945933293148,0.08918978529826968,0.03308667999004692,0.0320233775943933,1.4543811132822844e-09,0.008029473581935509,0.01594899081862932,1.8194949516162617e-07,0.0615904928447804,0.031038033919722253,0.02254717615870403,0.04452839697375901,2.4859864023225116e-08,0.014219605467439143,0.014011106569739123,0.0226448078660153,0.016520033406433467,0.0029377987315024547,0.017184073376777652,0.016986968636630025,0.043050908698437196,0.07039697228672234,-1.0692446076505764e-10,0.0031098411578963166,0.033533581553446976,0.040068724681624465,0.012574756076310357,0.0411901429305098,-1.5259595825376474e-10,0.011973575556295604,6.686915285825723e-10,0.004665894452873451,0.02075890932791998,0.006105917081942086,0.0033560990874027395,0.05883672005893692,0.018995452519832933
3.0,1.0,-0.001495088645173357,0.00010838499927004301,0.032695296750892666,0.02852913732938875,0.038067074771928715,0.015990017813165273,0.008743142056552867,0.0366691681386291,0.05554254412862836,0.026366693237745216,0.015132396816013886,0.0851326938757186,0.03125192348105175,0.028185038784458803,3.165312618415793e-08,0.0066854568016115785,0.013349864858535258,1.4093956257066543e-05,0.05918373365322492,0.027770789809888466,0.019842182947773165,0.044147791371493154,0.010226459897681898,0.011896537007103285,0.01380048004729016,0.020103739618380075,0.015095689123334874,0.005143698563677729,0.014762403376070352,0.01503641436840989,0.038740704086147416,0.08363599572935103,-1.469494271459172e-09,0.003078398182484767,0.03146798330477443,0.03539035072398541,0.011027190543733675,0.03628554315561798,-1.1085303845531299e-10,0.010534627001382383,4.3648542134384506e-08,0.004261114575551121,0.01820284966990353,0.004209777043828983,0.004740271920719208,0.05448465585033776,0.01727129785792962
4.0,1.0,-0.0019966905382235245,-0.00010718689290320493,0.03073681542808493,0.025934582746788004,0.047601519738219134,0.014409753822326274,0.007432271264450651,0.04578431354505255,0.06855170204382452,0.02673780833311301,0.013900589651621643,0.08260786563894246,0.03006890132023392,0.025368921795990804,3.0289584743938695e-09,0.0055006905171138655,0.01127663636781925,2.110030671260218e-06,0.057635480597079916,0.02546780512595952,0.017870406185561665,0.043709730620716876,0.018611078907864807,0.010144368361594915,0.013651483572502045,0.018308859076558846,0.014016336795447016,0.006254129603992629,0.012979265453564268,0.013653746909993002,0.03569798361257585,0.09315998162843306,-5.182812161105987e-11,0.003017752964860047,0.03004517906292026,0.03202585981238327,0.009868520863154179,0.03272422462235101,6.578193020485991e-11,0.009534289431574548,1.1313549769289032e-08,0.003983301384797647,0.016337200805443333,0.0026446293991657524,0.005772295102477926,0.05159761568100704,0.016110792535194852
5.0,1.0,-0.0024453423284409013,-0.00031020293395976617,0.029224232373023122,0.023956954361240325,0.05487568909038704,0.013178933330599527,0.006384984005272893,0.052718813955712464,0.07872485363311613,0.02718944114653765,0.012948639045185204,0.0809706494475702,0.02926340609897248,0.023149409876507498,6.8937864918295e-10,0.004422434182406811,0.009517947021878121,2.7413399550617166e-07,0.05659675726608741,0.023719733705790336,0.016324388403697158,0.04329734928625793,0.024926499543950854,0.00872657577367877,0.013554415981329742,0.016945665392447823,0.013144805274348529,0.0067952175708643064,0.011565822406589219,0.012597284106901545,0.03338555674904898,0.10072558089455022,2.5922297685352904e-11,0.0029485739363271516,0.029000004708938616,0.029419969330060393,0.008933501632641928,0.02994159552406535,1.8345591056555435e-10,0.008784101969097307,5.911387804105455e-09,0.0037782149560724896,0.01487276384352962,0.0012790665329609245,0.006607293484036899,0.04955284387564348,0.015273981657326978
6.0,1.0,-0.002854078977434357,-0.0005032832677065707,0.027992830687682546,0.02236615397886853,0.06072833071206021,0.012167979115479371,0.005507385156109219,0.05828410129722941,0.08710890631967075,0.027681780421950224,0.012174290942669908,0.07986937960367975,0.028690622081637616,0.021309891847454097,9.910082978635816e-09,0.003417739702863226,0.007963559290936107,1.065529206162989e-06,0.05586404345170289,0.022319365401186654,0.015047884754812111,0.042907760147994446,0.02993723569965083,0.007524857164074493,0.013493526256813266,0.015856151896586398,0.012406425861123045,0.006987986812714527,0.010387761399876348,0.011745645112953392,0.03152898604791012,0.10704993502880183,2.6405219786208004e-09,0.0028767685280728715,0.028188312733331066,0.027291823290221232,0.008138352994429459,0.027651760456833117,7.972785678672567e-09,0.00819079160807608,1.1345831851161849e-07,0.0036189363443282154,0.013663390830929946,6.934636502502217e-05,0.007313162879813356,0.04802826511526973,0.014640203371371355
7.0,1.0,-0.0032314288143746586,-0.0006844663551251436,0.026975981164465104,0.021009881005400174,0.06557467817582566,0.011292297394656675,0.004733999890142995,0.06288079503086226,0.09423483255273583,0.028170615087656385,0.011505379816195068,0.07904402318239738,0.02824345024355986,0.01969670023784845,1.1777240088365633e-09,0.0024565506284242034,0.006532309169171083,9.990064501567692e-08,0.05527778617856672,0.021128306282435564,0.013929462571320427,0.04248676514019911,0.034051638683244546,0.006452684987187537,0.013441912604319097,0.014930312689819474,0.011739011215662827,0.00693521067201177,0.009355310085081555,0.01101884980408022,0.02994479424922051,0.11244577826234088,6.057265415712512e-10,0.0027999075813104697,0.027505699295835594,0.025453622885426283,0.00743099829311077,0.025657348713287727,1.507749259678152e-09,0.007693379551769951,6.292491421426765e-08,0.003486009993045718,0.012609405290983268,6.602340300861762e-08,0.007925148805697214,0.04679928623078926,0.014125625350091387
8.0,1.0,-0.0035833068096790726,-0.000858791981041454,0.026098442619424712,0.01984503718422735,0.06971921499173281,0.010526563849586196,0.004048199883641919,0.06680386878208261,0.10047629765172696,0.028669842209702496,0.010926517938275976,0.07846448805315805,0.027907593334747332,0.01827640796674753,4.526008452825481e-09,0.0015387969968143663,0.005208068830843261,1.0445161998581122e-07,0.054830832334346734,0.020109355831276068,0.01294572254326962,0.04208467314732626,0.037517792865550424,0.005492349014335906,0.013411984678510422,0.014142441919405025,0.011139339977507974,0.006718658774300862,0.00844263751811384,0.010393884715360208,0.028584635043769683,0.11722240352597302,3.5978520255629545e-09,0.002724573608367295,0.026936285136849463,0.023853982445724453,0.006793104982739552,0.023910415403659777,7.853097278419778e-09,0.007273591542062978,3.2497069508254173e-07,0.003375800135255993,0.01168496569891201,4.273147550381218e-08,0.008467854719294227,0.045819984059447295,0.013711344221240884
9.0,1.0,-0.003913682223288539,-0.001027528503730728,0.025325234317476096,0.01882640388595156,0.07333627015048189,0.00984494972435471,0.003430806897105295,0.07022167593795323,0.1060519010339581,0.029174894955146274,0.010417283991319828,0.0780673658663453,0.027656288634762147,0.017005738186780125,1.4086876943649192e-10,0.0006538381787821234,0.003967361299935278,5.238569877382922e-09,0.05448726967011845,0.019221961552681847,0.012065874074236252,0.041702934829027996,0.04049226070053257,0.004619700916298055,0.01340114410489684,0.013461486856173056,0.010592729496156177,0.006380755315400416,0.007622474761740156,0.009846897473165552,0.027394928374272914,0.12153466026964417,1.4237890455104316e-10,0.0026515418596047423,0.02645277500632928,0.022437260795259647,0.006207612405295428,0.02235422093504987,2.886913935256312e-10,0.006913141538666074,2.3839832162625267e-08,0.003283019134198471,0.010860645926914105,1.3999672762901878e-09,0.008956089526710075,0.045029628536588845,0.013374175700579477
10.0,1.0,-0.00422555022165845,-0.001190713673626254,0.024636706549505342,0.017917868575830637,0.07652677357135787,0.009226982674362403,0.0028661789144804285,0.07323094069011157,0.11108867242452365,0.029676004234403117,0.009962088185864644,0.07779019954518687,0.027462520317871202,0.01584938143661071,7.82433893955282e-09,1.2860649111301358e-05,0.0027895984822837944,2.2513911555258805e-07,0.054207493262935856,0.018432142586634268,0.011264618590253734,0.04132842921940797,0.043075770608881375,0.0038147380092634323,0.013405506710273936,0.012860955502035113,0.010085869150246743,0.005945580363800892,0.006873863066753021,0.009357325562344263,0.02633163234330471,0.1254565401908174,1.0178172602987082e-08,0.0025819999653647592,0.02603058415070452,0.021158266582842512,0.005660024783967793,0.020942342964025147,1.89973562877921e-08,0.006597268158196235,1.3090467423380039e-06,0.0032026671707334055,0.01011391476262045,5.5691557582913305e-08,0.009399680618971633,0.04437725972388087,0.0130938287577855
